"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The point of the module, asserted directly.

    ``Pacific/Kiritimati`` (UTC+14) and ``Etc/GMT+12`` (UTC-12) are the extremes:
    a local date can be a full day either side of the UTC one. If ``today_utc()``
    ever moved with the process timezone, these two would disagree and the
    application-versus-runner mismatch would be back.

    ``time.tzset`` does not exist on Windows, so the strict form of this check
    only runs where the platform can actually change zones - and it is asserted
    rather than skipped silently, because a test that quietly does nothing is
    worse than one that is not there.
    ","4","test_the_answer_does_not_move_with_the_process_timezone[Pacific/Kiritimati]","tests.framework","2026-08-20","passed","2026-08-20","","test_clock","",""
"","1","test_days_ago_counts_backwards_from_utc_today","tests.framework","2026-08-20","passed","2026-08-20","","test_clock","",""
"The taxonomy the framework already raises is the taxonomy the report uses.

    Keying on exception types rather than on message wording is what makes this
    survive: messages get reworded, ``ServiceNotReadyError`` does not.
    ","0","test_environment_failures_are_recognised_by_exception_type[psycopg.errors.InsufficientPrivilege: permission denied for table claims-True]","tests.framework","2026-08-20","passed","2026-08-20","","test_allure_support","",""
"API-CLM-007.

    The order is recomputed in Python and compared, rather than spot-checking the
    first and last rows - a spot check passes on a list that is wrong in the
    middle.
    ","8","test_sorting_orders_the_results[incident-date-descending]","tests.api","2026-08-20","passed","2026-08-20","","test_claims_crud","",""
"DB-PAY-004 - the most expensive defect this suite could catch.","39","test_a_rejected_claim_is_never_paid","tests.db","2026-08-20","passed","2026-08-20","","test_audit_and_payouts","",""
"UI-FORM-002.

    Asserts the message is *visible*, not merely present in the DOM. An error
    rendered inside a collapsed container is invisible to the user and therefore
    does not exist as far as the product is concerned.
    ","208","test_invalid_amounts_are_rejected_with_a_visible_message[chromium-zero]","tests.ui","2026-08-20","passed","2026-08-20","","test_claim_form","",""
"UI-CLM-003. An empty result must be *explained*, not just blank.

    A blank table is indistinguishable from a broken one. The empty state is what
    tells a user their filter matched nothing rather than the page having failed.
    ","233","test_a_search_matching_nothing_shows_the_empty_state[chromium]","tests.ui","2026-08-20","passed","2026-08-20","","test_claims_list","",""
"Locally a flake should be reproduced - the developer is right there.","0","test_browser_tests_are_retried_once_in_ci_only[e2e]","tests.framework","2026-08-20","passed","2026-08-20","","test_flakiness","",""
"API-CLM-018. Malformed input is 422; well-formed-but-absent is 404.","6","test_a_malformed_identifier_is_a_validation_error[numeric]","tests.api","2026-08-20","passed","2026-08-20","","test_claims_validation","",""
"Fail at session start with a clear message, not mid-run as a mystery.","1","test_out_of_range_values_fail_fast[DB_PORT-70000]","tests.framework","2026-08-20","passed","2026-08-20","","test_settings","",""
"Characterisation test for a real finding, assessed as LOW severity.

    Python's ``Decimal`` accepts any character in the Unicode ``Nd`` category, so
    non-ASCII numerals are silently normalised: full-width and Arabic-Indic ""123""
    both become ``123.00``.

    Why this is documented rather than ""fixed"":

    * the parsed value is **unambiguous and correct** - those characters really do
      mean one hundred and twenty-three;
    * no business rule is bypassed, because the normalised amount is still checked
      against the policy coverage limit;
    * rejecting them would invent a requirement and would refuse legitimate input
      from users whose keyboards produce those digits.

    What this test guards is the part that *would* matter: if the API accepts the
    input, the stored value must be exactly what the characters mean - never a
    truncation, and never a silently different number. A bug here would be a
    financial defect.
    ","8","test_non_ascii_digits_are_normalised_rather_than_rejected[full-width-digits]","tests.api","2026-08-20","passed","2026-08-20","","test_claims_validation","",""
"UI-CLM-002 - asynchronous filtering, with no sleep anywhere.

    The page fetches a partial and swaps it in. The page object waits on
    ``aria-busy`` flipping back to ``false`` - a state the application publishes,
    not a duration someone guessed.
    ","312","test_searching_narrows_the_table_to_one_claim[chromium]","tests.ui","2026-08-20","passed","2026-08-20","","test_claims_list","",""
"Fail at session start with a clear message, not mid-run as a mystery.","1","test_out_of_range_values_fail_fast[UI_ACTION_TIMEOUT_MS-0]","tests.framework","2026-08-20","passed","2026-08-20","","test_settings","",""
"The link between two pages - the thing a UI test is uniquely able to prove.","314","test_opening_a_claim_from_the_table_navigates_to_its_detail_page[chromium]","tests.ui","2026-08-20","passed","2026-08-20","","test_claims_list","",""
"pytest prints locals on failure (--showlocals); a plain str would leak.","1","test_repr_of_settings_does_not_leak_secrets","tests.framework","2026-08-20","passed","2026-08-20","","test_settings","",""
"DB-INT-006 - a claim with no history cannot be explained to anyone.","4","test_every_claim_has_an_audit_trail","tests.db","2026-08-20","passed","2026-08-20","","test_integrity","",""
"","73","test_an_administrator_can_see_the_user_list[chromium]","tests.ui","2026-08-20","passed","2026-08-20","","test_claim_workflow","",""
"API-STATE-005 - every combination that is not a published edge.

    Uses the administrator-capable actor so a refusal can only be about the
    claim's *state*, never about the caller's role. Role restrictions are proved
    separately in test_authorization.py; mixing the two would make a failure here
    ambiguous.
    ","45","test_illegal_transitions_are_refused[REJECTED-cannot-approve]","tests.api","2026-08-20","passed","2026-08-20","","test_state_machine","",""
"WITHDRAWN is terminal - reached by DELETE, and a dead end thereafter.","19","test_a_withdrawn_claim_accepts_no_transition[pay]","tests.api","2026-08-20","passed","2026-08-20","","test_state_machine","",""
"The taxonomy the framework already raises is the taxonomy the report uses.

    Keying on exception types rather than on message wording is what makes this
    survive: messages get reworded, ``ServiceNotReadyError`` does not.
    ","0","test_environment_failures_are_recognised_by_exception_type[claimdesk_qa.db.connection.DatabaseError: could not connect-True]","tests.framework","2026-08-20","passed","2026-08-20","","test_allure_support","",""
"`faker_seed=None` in a report tells a reader nothing they can act on.","0","test_an_unset_seed_still_produces_one","tests.framework","2026-08-20","passed","2026-08-20","","test_flakiness","",""
"Configuration cannot drift mid-run, so a result always matches its report.","1","test_settings_are_immutable","tests.framework","2026-08-20","passed","2026-08-20","","test_settings","",""
"API-AUTH-001.","68","test_login_with_valid_credentials_returns_a_bearer_token","tests.api","2026-08-20","passed","2026-08-20","","test_auth","",""
"Scoping the detail endpoint but not the list endpoint is a common oversight.","16","test_a_customers_list_never_includes_another_customers_claims","tests.api","2026-08-20","passed","2026-08-20","","test_authorization","",""
"Self-registration is not an anonymous or customer capability here.","6","test_a_customer_cannot_create_a_user","tests.api","2026-08-20","passed","2026-08-20","","test_authorization","",""
"The control from ADR 0003, tested rather than assumed.

    Every claim this framework makes about not writing to the database rests on
    this. An untested safety control is a belief, and beliefs about permissions
    are wrong surprisingly often - a well-meaning ``GRANT ALL`` during an incident
    is all it takes.

    The failure is raised as a ``DatabaseError``, not an ``AssertionError``,
    because being refused is the framework working correctly rather than the
    product misbehaving.
    ","2","test_the_qa_role_cannot_modify_anything[delete]","tests.db","2026-08-20","passed","2026-08-20","","test_integrity","",""
"A password containing @ or / would otherwise corrupt the connection URL.","1","test_dsn_is_built_correctly_and_url_encodes_the_password","tests.framework","2026-08-20","passed","2026-08-20","","test_settings","",""
"API-AUTH-006. Every malformed shape must land on 401, never 500.","3","test_malformed_authorization_headers_are_rejected[not-a-jwt]","tests.api","2026-08-20","passed","2026-08-20","","test_auth","",""
"DB-CLM-001 - the write reached storage, with every field intact.

    A `201` proves the API accepted the request. It does not prove a row exists,
    and it certainly does not prove the row holds what was sent - an application
    that returned the payload it was given while silently failing to commit would
    satisfy every API test in this repository.
    ","13","test_a_claim_created_through_the_api_is_persisted","tests.db","2026-08-20","passed","2026-08-20","","test_claim_persistence","",""
"An attempt is not a transition. Recording one would falsify the history.","40","test_a_refused_transition_writes_no_audit_event","tests.api","2026-08-20","passed","2026-08-20","","test_state_machine","",""
"","6","test_page_numbers_below_one_are_rejected[0]","tests.api","2026-08-20","passed","2026-08-20","","test_claims_validation","",""
"Reading is not the only thing that must be scoped to the owner.","26","test_a_customer_cannot_modify_another_customers_claim","tests.api","2026-08-20","passed","2026-08-20","","test_authorization","",""
"Session setup and collection log before any test owns the context.","0","test_the_default_outside_any_context_is_a_placeholder","tests.framework","2026-08-20","passed","2026-08-20","","test_logging_and_correlation","",""
"","1","test_metadata_is_written_into_the_results_directory","tests.framework","2026-08-20","passed","2026-08-20","","test_allure_support","",""
"API-CLM-010 / 011.","5","test_non_positive_amounts_are_rejected[negative]","tests.api","2026-08-20","passed","2026-08-20","","test_claims_validation","",""
"DB-INT-004 - the opposite failure: money owed and never recorded.

    Paired with the previous test on purpose. Together they say the PAID status and
    the payout ledger agree in both directions, which neither says alone.
    ","7","test_every_paid_claim_has_a_payout","tests.db","2026-08-20","passed","2026-08-20","","test_integrity","",""
"An explicit extra={""request_id"": ...} must win over the ambient context.","1","test_request_id_filter_does_not_overwrite_an_explicit_value","tests.framework","2026-08-20","passed","2026-08-20","","test_logging_and_correlation","",""
"Needed when the API is served from a different host than the UI.","1","test_api_url_can_be_overridden_independently","tests.framework","2026-08-20","passed","2026-08-20","","test_settings","",""
"API-STATE-001 - each documented edge, exercised in isolation.

    Driven from the same table that generates the negative matrix, so the positive
    and negative sets can never drift apart from each other.
    ","36","test_every_published_transition_is_accepted[UNDER_REVIEW-reject-REJECTED]","tests.api","2026-08-20","passed","2026-08-20","","test_state_machine","",""
"The control from ADR 0003, tested rather than assumed.

    Every claim this framework makes about not writing to the database rests on
    this. An untested safety control is a belief, and beliefs about permissions
    are wrong surprisingly often - a well-meaning ``GRANT ALL`` during an incident
    is all it takes.

    The failure is raised as a ``DatabaseError``, not an ``AssertionError``,
    because being refused is the framework working correctly rather than the
    product misbehaving.
    ","2","test_the_qa_role_cannot_modify_anything[insert]","tests.db","2026-08-20","passed","2026-08-20","","test_integrity","",""
"","1","test_tomorrow_is_the_first_refused_date","tests.framework","2026-08-20","passed","2026-08-20","","test_clock","",""
"UI-FORM-006 - small, and the difference between usable and infuriating.

    Losing a 400-character description because the amount had a typo is the kind
    of defect users complain about loudly and test suites rarely check.
    ","174","test_a_rejected_submission_keeps_what_the_user_typed[chromium]","tests.ui","2026-08-20","passed","2026-08-20","","test_claim_form","",""
"If one retry cannot decide whether a failure reproduces, two will not either.

    Pinned as a test because this is the number that gets quietly raised at 5pm
    by whoever is trying to ship.
    ","0","test_the_retry_budget_is_one","tests.framework","2026-08-20","passed","2026-08-20","","test_flakiness","",""
"API-CLM-021.

    The behaviour is asserted rather than assumed. Whether unknown fields are
    ignored or rejected is a real API decision; what matters is that a client
    cannot smuggle in a field the server silently honours - here, a status.
    ","11","test_an_unknown_field_does_not_change_the_claim","tests.api","2026-08-20","passed","2026-08-20","","test_claims_validation","",""
"The point of the module, asserted directly.

    ``Pacific/Kiritimati`` (UTC+14) and ``Etc/GMT+12`` (UTC-12) are the extremes:
    a local date can be a full day either side of the UTC one. If ``today_utc()``
    ever moved with the process timezone, these two would disagree and the
    application-versus-runner mismatch would be back.

    ``time.tzset`` does not exist on Windows, so the strict form of this check
    only runs where the platform can actually change zones - and it is asserted
    rather than skipped silently, because a test that quietly does nothing is
    worse than one that is not there.
    ","0","test_the_answer_does_not_move_with_the_process_timezone[UTC]","tests.framework","2026-08-20","passed","2026-08-20","","test_clock","",""
"One URL to configure, so two values can never disagree.","0","test_api_url_is_derived_from_base_url","tests.framework","2026-08-20","passed","2026-08-20","","test_settings","",""
"API-STATE-005 - every combination that is not a published edge.

    Uses the administrator-capable actor so a refusal can only be about the
    claim's *state*, never about the caller's role. Role restrictions are proved
    separately in test_authorization.py; mixing the two would make a failure here
    ambiguous.
    ","24","test_illegal_transitions_are_refused[DRAFT-cannot-pay]","tests.api","2026-08-20","passed","2026-08-20","","test_state_machine","",""
"The taxonomy the framework already raises is the taxonomy the report uses.

    Keying on exception types rather than on message wording is what makes this
    survive: messages get reworded, ``ServiceNotReadyError`` does not.
    ","0","test_environment_failures_are_recognised_by_exception_type[AssertionError: Expected HTTP 201 but got 500-False]","tests.framework","2026-08-20","passed","2026-08-20","","test_allure_support","",""
"UI-FORM-001 - the full create journey through the interface.

    This is one of the few tests that genuinely *needs* a browser: it proves a
    person can complete the workflow, which no API test can tell you.
    ","194","test_submitting_a_valid_claim_creates_it[chromium]","tests.ui","2026-08-20","passed","2026-08-20","","test_claim_form","",""
"UI-AUTH-003 - user enumeration, checked at the interface as well as the API.

    The API test proves the response bodies match. This proves the *rendered*
    message matches too - a UI that helpfully said ""no account with that email""
    would leak exactly what the API was careful not to.
    ","177","test_an_unknown_account_gives_the_same_message_as_a_wrong_password[chromium]","tests.ui","2026-08-20","passed","2026-08-20","","test_login","",""
"Windows rejects these outright; Linux allows some of them and then surprises you.","0","test_characters_illegal_in_a_windows_path_are_removed[tests/api/test_x.py::test_question[?]]","tests.framework","2026-08-20","passed","2026-08-20","test_characters_illegal_in_a_windows_path_are_removed[tests/api/test_x.py","test_artifacts","",""
"","1","test_defaults_are_usable_without_any_environment_variables","tests.framework","2026-08-20","passed","2026-08-20","","test_settings","",""
"WITHDRAWN is terminal - reached by DELETE, and a dead end thereafter.","21","test_a_withdrawn_claim_accepts_no_transition[start_review]","tests.api","2026-08-20","passed","2026-08-20","","test_state_machine","",""
"A failing test is exactly when this matters, so it is exactly what is tested.","1","test_the_recorder_is_reset_even_when_the_test_raises","tests.framework","2026-08-20","passed","2026-08-20","","test_recording","",""
"API-STATE-005 - every combination that is not a published edge.

    Uses the administrator-capable actor so a refusal can only be about the
    claim's *state*, never about the caller's role. Role restrictions are proved
    separately in test_authorization.py; mixing the two would make a failure here
    ambiguous.
    ","44","test_illegal_transitions_are_refused[APPROVED-cannot-reject]","tests.api","2026-08-20","passed","2026-08-20","","test_state_machine","",""
"DB-INT-002 - an orphaned payout is money attached to nothing.","4","test_no_payout_points_at_a_missing_claim","tests.db","2026-08-20","passed","2026-08-20","","test_integrity","",""
"API-CLM-004, across every status the enum defines.

    Parametrised over the enum rather than a hand-picked list, so a new status
    cannot be added without being covered here.
    ","8","test_filtering_by_status_returns_only_that_status[SUBMITTED]","tests.api","2026-08-20","passed","2026-08-20","","test_claims_crud","",""
"WITHDRAWN is terminal - reached by DELETE, and a dead end thereafter.","20","test_a_withdrawn_claim_accepts_no_transition[approve]","tests.api","2026-08-20","passed","2026-08-20","","test_state_machine","",""
"DB-CLM-006 - a 422 must not leave a partial record behind.

    The failure mode being guarded against is a handler that inserts first and
    validates second. The API would still return an error, so no API test could
    detect it, while the database quietly accumulated invalid rows.

    **Scoped to this test's own marker, and the first version was not.** It
    compared a global ``count(*) WHERE status = 'DRAFT'`` before and after, which
    failed two runs in three under ``-n 4``: other workers legitimately create
    draft claims in between, so the number moves for reasons that have nothing to
    do with this test.

    That is the same error as the Phase 6 pagination flake, made again in a new
    layer - which is the argument for stating the rule as a rule rather than
    fixing instances of it. **A test may assert on an invariant globally, because
    an invariant holds no matter who else is writing. It may never assert on an
    aggregate globally, because an aggregate is a fact about the whole database
    and the whole database is shared.**
    ","13","test_a_rejected_write_leaves_no_row","tests.db","2026-08-20","passed","2026-08-20","","test_claim_persistence","",""
"","81","test_an_administrator_can_create_a_user","tests.api","2026-08-20","passed","2026-08-20","","test_authorization","",""
"Allure requires a FULL match, and a stack trace is never one line.

    Asserted for every pattern rather than for the one that was found broken:
    the next category somebody adds will be written by copying one of these, and
    a missing ``(?s)`` fails silently - the report keeps rendering, it simply
    stops classifying anything.
    ","1","test_every_pattern_can_match_across_a_multi_line_value[Browser timeout (element never became actionable)]","tests.framework","2026-08-20","passed","2026-08-20","","test_allure_support","",""
"E2E-003 - an administrative action reaches into a live browser session.

    This is the journey that cannot be tested from one layer at all. An
    administrator deactivates an account through the **API**; a **browser** that
    was already signed in must stop working on its very next request; the
    **database** must show the account inactive.

    It also documents this application's real revocation story honestly. A bearer
    token cannot be withdrawn without server-side state, which ClaimDesk
    deliberately does not keep - so deactivating the user *is* the revocation
    path, and it must therefore work immediately rather than at token expiry.
    ","434","test_deactivating_a_user_immediately_ends_their_browser_session[chromium]","tests.e2e","2026-08-20","passed","2026-08-20","","test_claim_lifecycle","",""
"API-CLM-016 - all four edges of the accepted range.","13","test_description_length_boundaries[exactly-maximum]","tests.api","2026-08-20","passed","2026-08-20","","test_claims_validation","",""
"UI-AUTHZ-003 - presentation, asserted in both directions.

    The negative alone would be satisfied by a navigation bar that renders no
    links at all, so the positive case is asserted in the same test.
    ","151","test_the_admin_link_is_hidden_from_a_customer_and_shown_to_an_administrator[chromium]","tests.ui","2026-08-20","passed","2026-08-20","","test_claim_workflow","",""
"API-AUTH-004.

    Asserting *which* field was rejected, not merely that something was. A test
    that only checks for 422 passes even when the API rejects the wrong field.
    ","3","test_malformed_login_payloads_are_rejected_by_field[email-missing]","tests.api","2026-08-20","passed","2026-08-20","","test_auth","",""
"Fail at session start with a clear message, not mid-run as a mystery.","1","test_out_of_range_values_fail_fast[LOG_LEVEL-chatty]","tests.framework","2026-08-20","passed","2026-08-20","","test_settings","",""
"Not even in CI, and this is the important one.

    A browser shares a machine with a compositor and a renderer, so a retry
    there answers a real question. An API or database test that fails
    intermittently is not flaky, it is **wrong** - a race, a shared-state
    assumption, a real product defect - and retrying it deletes the evidence.
    ","1","test_api_and_database_tests_are_never_retried[db]","tests.framework","2026-08-20","passed","2026-08-20","","test_flakiness","",""
"UI-CLM-006 - page two holds different claims from page one.

    **Scoped to the seeded corpus on purpose, and this test taught me why.**

    The first version paginated the unfiltered table, which is sorted newest-first.
    Under ``-n 4`` it failed roughly half the time: other workers create claims
    between the page-one and page-two requests, every row shifts down by one, and a
    claim seen at the bottom of page one reappears at the top of page two. The
    assertion was correct; the *premise* was wrong. You cannot paginate a data set
    that is being written to and expect stable page boundaries.

    Filtering to ``CLM-SEED`` fixes it properly rather than papering over it: the
    seeded corpus is 24 claims that no test mutates and no worker adds to, so the
    pages are deterministic no matter what else is running.
    ","359","test_the_table_paginates[chromium]","tests.ui","2026-08-20","passed","2026-08-20","","test_claims_list","",""
"API-CLM-004, across every status the enum defines.

    Parametrised over the enum rather than a hand-picked list, so a new status
    cannot be added without being covered here.
    ","7","test_filtering_by_status_returns_only_that_status[UNDER_REVIEW]","tests.api","2026-08-20","passed","2026-08-20","","test_claims_crud","",""
"A failing test must not leave its id in effect and mislabel later output.

    Compared against the ambient value rather than the module default, because
    these tests themselves run inside a correlation context: the autouse per-test
    log fixture in tests/conftest.py has already set one. Asserting the default
    here would be asserting that the framework is NOT doing its job.
    ","0","test_context_variable_is_restored_after_the_block","tests.framework","2026-08-20","passed","2026-08-20","","test_logging_and_correlation","",""
"The message must make it obvious this is not a product defect.

    A connection error surfacing as a wall of red test failures is how teams start
    distrusting a suite. The wording matters as much as the behaviour.
    ","0","test_times_out_with_a_message_that_blames_the_environment","tests.framework","2026-08-20","passed","2026-08-20","","test_readiness","",""
"","1","test_non_http_urls_are_rejected[localhost:8000]","tests.framework","2026-08-20","passed","2026-08-20","","test_settings","",""
"UI-FORM-002.

    Asserts the message is *visible*, not merely present in the DOM. An error
    rendered inside a collapsed container is invisible to the user and therefore
    does not exist as far as the product is concerned.
    ","142","test_invalid_amounts_are_rejected_with_a_visible_message[chromium-negative]","tests.ui","2026-08-20","passed","2026-08-20","","test_claim_form","",""
"API-STATE-005 - every combination that is not a published edge.

    Uses the administrator-capable actor so a refusal can only be about the
    claim's *state*, never about the caller's role. Role restrictions are proved
    separately in test_authorization.py; mixing the two would make a failure here
    ambiguous.
    ","48","test_illegal_transitions_are_refused[APPROVED-cannot-start_review]","tests.api","2026-08-20","passed","2026-08-20","","test_state_machine","",""
"API-AUTHZ-004 - the limit is inclusive.","43","test_an_adjuster_may_approve_up_to_and_including_the_limit[exactly-at-limit]","tests.api","2026-08-20","passed","2026-08-20","","test_authorization","",""
"Every fixture must see the same object, not a fresh read of the environment.","1","test_get_settings_is_cached","tests.framework","2026-08-20","passed","2026-08-20","","test_settings","",""
"A quarantined test must never outrank a real failure, even a smoke one.","0","test_severity_reflects_triage_order[markers0-critical]","tests.framework","2026-08-20","passed","2026-08-20","","test_allure_support","",""
"Fail at session start with a clear message, not mid-run as a mystery.","1","test_out_of_range_values_fail_fast[DB_PORT-0]","tests.framework","2026-08-20","passed","2026-08-20","","test_settings","",""
"Better no widget than a widget promising a link that goes nowhere.","0","test_a_local_run_gets_no_executor_block","tests.framework","2026-08-20","passed","2026-08-20","","test_allure_support","",""
"Allure applies the first match, so a catch-all placed early hides the causes.

    ""Product defect"" matching every failure is correct only once the specific
    causes above it have been ruled out. If it moved up the list, every
    environment outage would be filed as a product bug - the exact mistake this
    ordering exists to prevent.
    ","0","test_the_catch_all_categories_come_last","tests.framework","2026-08-20","passed","2026-08-20","","test_allure_support","",""
"Fixtures build purpose-made Settings objects without touching the environment.","1","test_settings_can_be_constructed_directly_for_tests","tests.framework","2026-08-20","passed","2026-08-20","","test_settings","",""
"A state change that leaves no audit row is invisible to compliance.","41","test_withdrawal_is_recorded_in_the_audit_trail","tests.api","2026-08-20","passed","2026-08-20","","test_claims_crud","",""
"API-AUTHZ-001 - and it must be 404, not 403.

    403 confirms the resource exists. Repeated against a range of identifiers that
    turns into an enumeration oracle: an attacker learns which claims are real
    without ever reading one. 404 reveals nothing.
    ","16","test_a_customer_cannot_read_another_customers_claim","tests.api","2026-08-20","passed","2026-08-20","","test_authorization","",""
"The variable is TEST_ENV, not ENV - ENV is far too generic to claim.","1","test_environment_is_read_from_the_test_env_alias","tests.framework","2026-08-20","passed","2026-08-20","","test_settings","",""
"","0","test_explicit_run_id_beats_the_environment","tests.framework","2026-08-20","passed","2026-08-20","","test_artifacts","",""
"","1","test_messages_reach_the_worker_log_file","tests.framework","2026-08-20","passed","2026-08-20","","test_logging_and_correlation","",""
"Removing each field in turn, so no field is 'required' only in the docs.","4","test_every_required_field_is_actually_required[policy_id]","tests.api","2026-08-20","passed","2026-08-20","","test_claims_validation","",""
"","0","test_today_is_utc_not_local","tests.framework","2026-08-20","passed","2026-08-20","","test_clock","",""
"A quarantined test must never outrank a real failure, even a smoke one.","0","test_severity_reflects_triage_order[markers3-minor]","tests.framework","2026-08-20","passed","2026-08-20","","test_allure_support","",""
